date,consumption,tavg,tmin,tmax,prcp,wspd
2012-01-26,10.367,7.8,2.9,11.4,1.0,18.5
2012-01-27,8.734,5.9,4.0,9.0,0.3,13.9
2012-01-28,9.079,4.7,2.0,6.0,0.3,8.5
2012-01-29,9.811,2.7,2.0,4.0,0.3,6.5
2012-01-30,8.691,2.5,1.0,4.0,0.0,5.2
2012-01-31,6.763,1.1,0.0,2.0,0.0,7.4
2012-02-01,7.951,1.0,-2.0,3.0,0.0,17.4
2012-02-02,14.043,-0.5,-2.0,1.0,0.0,14.6
2012-02-03,7.981,-0.4,-2.0,2.0,0.0,9.2
2012-02-04,9.501,-1.1,-7.0,1.0,0.0,10.1
2012-02-05,8.797,1.3,0.0,1.0,0.5,5.2
2012-02-06,10.179,1.7,0.0,3.0,7.9,6.4
2012-02-07,11.11,0.1,-3.0,2.0,2.3,10.8
2012-02-08,6.859,0.0,-2.0,1.0,0.0,11.9
2012-02-09,7.454,0.5,-1.0,2.0,0.0,5.7
2012-02-10,6.95,-0.2,-3.0,2.0,2.0,8.5
2012-02-11,5.649,-2.3,-6.0,1.0,0.0,3.6
2012-02-12,6.662,0.7,-9.0,4.0,0.0,7.2
2012-02-13,11.095,4.3,0.0,6.0,0.0,12.6
2012-02-14,9.7610001,6.3,4.0,8.0,0.5,16.0
2012-02-15,10.21,8.5,7.0,10.0,0.0,19.7
2012-02-16,6.735,8.2,6.0,10.0,0.0,14.1
2012-02-17,6.578,9.6,5.0,11.0,0.0,14.9
2012-02-18,12.442,8.2,4.0,11.0,0.0,24.5
2012-02-19,9.493,4.1,2.0,6.0,2.8,16.0
2012-02-20,12.355,4.5,0.0,9.0,0.0,12.7
2012-02-21,0.193,8.8,6.0,12.0,0.0,19.4
2012-02-22,7.494,8.8,6.0,10.0,0.0,23.7
2012-02-23,5.796,13.4,11.0,17.0,0.8,19.2
2012-02-24,8.291,11.6,10.0,15.0,0.0,19.8
2012-02-25,5.845,9.2,7.0,12.0,0.0,9.3
2012-02-26,8.298,8.3,4.0,13.0,0.0,6.2
2012-02-27,7.059,9.2,7.0,11.0,0.0,15.7
2012-02-28,9.608,11.5,10.0,14.0,0.0,12.3
2012-02-29,10.181,11.2,10.0,13.0,0.0,9.9
2012-03-01,6.18,11.2,8.0,15.0,0.0,5.7
2012-03-02,10.457,6.8,5.0,8.0,0.0,9.3
2012-03-03,7.114,9.8,7.0,13.0,0.0,13.1
2012-03-04,9.39,6.9,3.0,9.0,9.4,18.1
2012-03-05,8.056000000000001,6.4,3.0,9.0,0.0,31.8
2012-03-06,6.479,5.4,3.0,7.0,0.0,13.1
2012-03-07,10.307,7.7,6.0,11.0,0.3,20.8
2012-03-08,9.416,7.9,4.0,11.0,3.8,15.3
2012-03-09,7.754,9.7,7.0,11.0,0.0,16.2
2012-03-10,12.298,11.7,9.0,15.0,0.0,13.0
2012-03-11,7.936,10.9,6.0,14.0,0.0,4.1
2012-03-12,7.198,8.2,6.0,12.0,0.0,6.0
2012-03-13,3.712,7.4,5.0,11.0,0.3,7.2
2012-03-14,4.094,7.0,5.0,11.0,0.0,9.5
2012-03-15,3.39,8.6,0.0,16.0,0.0,8.4
2012-03-16,3.22,9.5,9.0,10.0,0.0,17.4
2012-03-17,9.4149999,9.2,6.9,11.1,1.0,12.0
2012-03-18,4.602,7.2,2.6,10.4,2.3,11.9
2012-03-19,3.425,8.0,3.0,13.0,0.0,11.9
2012-03-20,2.497,10.0,5.0,14.0,0.3,10.0
2012-03-21,2.524,10.5,6.0,15.0,0.0,8.8
