date,consumption,tavg,tmin,tmax,prcp,wspd
2012-04-25,2.444,8.6,6.1,12.1,13.0,21.8
2012-04-26,3.884,10.9,8.5,13.3,5.1,27.4
2012-04-27,2.391,11.0,9.0,15.2,3.0,15.9
2012-04-28,2.38,8.3,5.7,9.5,3.6,20.7
2012-04-29,2.333,8.7,5.6,14.1,17.3,28.6
2012-04-30,7.1220001,13.4,8.6,18.4,5.6,22.9
2012-05-01,5.64,13.2,11.0,17.3,0.0,15.8
2012-05-02,7.848,10.9,9.4,14.4,2.8,14.4
2012-05-03,5.462,8.5,7.7,9.2,0.0,13.0
2012-05-04,2.37,7.9,6.9,9.0,0.0,10.8
2012-05-05,2.288,7.3,5.4,9.7,0.0,18.5
2012-05-06,2.27,7.0,4.9,8.8,0.3,11.6
2012-05-07,2.261,8.5,1.5,14.2,0.0,11.1
2012-05-08,5.217,13.3,10.2,17.8,2.3,11.9
2012-05-09,6.401,12.7,9.5,14.9,0.0,12.4
2012-05-10,6.485,15.4,14.1,17.1,6.1,23.3
2012-05-11,6.099,12.7,8.4,15.0,4.3,23.4
2012-05-12,5.8870000000000005,9.9,4.2,14.7,0.0,12.5
2012-05-13,6.561,10.5,2.6,17.0,0.0,12.6
2012-05-14,7.226,9.3,6.2,12.0,0.0,18.3
2012-05-15,5.335,7.2,5.0,12.0,1.5,16.9
2012-05-16,6.899,8.8,2.5,13.1,4.3,10.1
2012-05-17,4.544,11.0,6.4,15.5,0.0,11.3
2012-05-18,2.468,12.6,9.1,15.8,0.0,15.9
2012-05-19,2.477,13.0,9.9,16.5,0.0,13.8
2012-05-20,2.425,10.0,8.7,11.5,0.0,18.6
2012-05-21,4.219,12.1,9.1,16.0,0.0,18.3
2012-05-22,5.43,17.6,11.4,24.8,0.0,16.0
2012-05-23,5.969,19.3,12.5,25.9,0.0,10.2
2012-05-24,4.9879999999999995,20.3,15.1,26.1,0.0,10.7
2012-05-25,2.963,20.5,15.7,24.6,0.0,21.5
2012-05-26,2.901,19.8,14.3,24.7,0.0,22.5
2012-05-27,2.868,20.4,12.3,26.6,0.0,14.7
2012-05-28,4.572,19.6,12.7,25.6,0.0,8.7
2012-05-29,7.131,17.6,12.9,22.3,0.0,9.9
2012-05-30,5.193,18.2,12.7,24.2,0.0,10.1
2012-05-31,4.489,16.1,13.0,19.4,4.3,17.4
2012-06-01,2.88,16.7,12.9,20.3,0.0,10.3
2012-06-02,2.802,14.1,11.3,18.5,1.0,18.2
2012-06-03,2.645,11.3,10.5,12.0,8.1,18.8
2012-06-04,2.518,10.4,7.4,14.0,10.4,16.6
2012-06-05,2.476,10.7,5.6,14.7,6.1,12.3
2012-06-06,4.612,14.8,11.8,18.4,3.8,17.8
2012-06-07,6.533,14.3,12.3,17.3,9.4,17.5
2012-06-08,6.37,13.2,12.0,15.0,6.1,34.7
2012-06-09,9.0360001,13.8,10.5,17.8,0.0,26.8
2012-06-10,5.323,12.8,6.0,17.5,0.0,8.5
2012-06-11,5.533,11.7,10.6,12.6,29.0,20.0
2012-06-12,5.3790001,11.5,10.4,13.2,7.1,16.7
2012-06-13,0.043,12.9,5.3,18.6,0.0,6.2
2012-06-14,5.3519999,13.3,6.9,19.4,0.0,17.5
2012-06-15,0.037,14.9,12.5,18.2,7.1,22.9
2012-06-16,7.58,14.5,12.2,17.2,0.0,27.5
2012-06-17,5.346,15.3,11.5,18.9,0.0,19.3
2012-06-18,5.503,14.3,10.9,19.0,4.6,11.3
2012-06-19,6.111,15.4,9.4,19.8,0.0,7.5
2012-06-20,6.564,17.0,10.8,22.5,0.0,12.3
2012-06-21,4.417,15.3,10.9,19.4,6.1,18.8
2012-06-22,2.364,14.4,10.8,17.5,2.0,27.5
2012-06-23,2.36,14.5,10.4,19.3,0.3,21.2
2012-06-24,2.373,15.1,11.4,19.7,0.0,21.9
2012-06-25,5.272,16.7,11.6,20.8,0.3,10.9
2012-06-26,6.572,17.8,13.3,21.7,0.0,10.8
2012-06-27,5.739,19.2,17.5,22.3,0.0,12.4
2012-06-28,5.593,21.2,15.7,27.2,0.0,15.4
2012-06-29,2.633,16.5,13.0,21.4,0.3,23.4
2012-06-30,2.606,17.1,13.8,20.3,0.0,22.1
2012-07-01,2.513,14.6,10.3,18.2,0.0,20.2
2012-07-02,5.508,14.9,12.3,17.3,0.3,16.3
2012-07-03,6.748,16.6,15.1,18.9,4.3,14.1
2012-07-04,6.599,18.1,15.7,22.4,6.6,14.1
2012-07-05,5.569,18.0,14.1,21.6,0.3,7.5
2012-07-06,2.551,15.8,14.3,18.3,0.0,8.0
2012-07-07,2.468,15.8,12.5,18.9,8.6,14.9
2012-07-08,2.47,16.1,14.1,20.2,0.0,11.2
2012-07-09,5.53,15.7,13.9,18.4,2.5,12.6
2012-07-10,5.808,15.2,12.6,18.8,0.3,12.6
2012-07-11,6.615,14.8,11.8,18.8,6.1,16.5
2012-07-12,3.4659999999999997,13.6,9.5,18.7,5.8,13.6
2012-07-13,2.455,15.7,13.9,19.1,8.9,15.7
2012-07-14,2.444,14.2,12.7,16.3,0.0,11.8
2012-07-15,2.423,14.5,11.6,17.7,6.1,13.0
2012-07-16,6.382,15.0,12.5,17.2,0.0,19.2
2012-07-17,6.158,18.2,13.4,23.7,1.8,19.7
2012-07-18,6.837,16.4,14.3,18.0,0.0,19.3
2012-07-19,4.437,16.5,13.1,20.2,1.5,19.4
2012-07-20,2.452,14.7,11.8,18.0,0.3,9.4
2012-07-21,2.445,15.6,11.0,20.0,2.0,7.8
2012-07-22,2.495,17.8,12.0,23.5,0.0,11.9
2012-07-23,4.875,20.0,11.4,27.5,0.0,10.7
2012-07-24,6.371,21.8,13.1,29.2,0.0,4.4
2012-07-25,6.38,22.5,14.9,29.0,0.0,8.0
2012-07-26,7.09,21.5,15.6,27.3,0.0,11.9
2012-07-27,2.936,19.6,15.0,24.0,0.0,9.1
2012-07-28,2.7359999999999998,17.0,14.0,20.5,0.0,13.6
2012-07-29,2.584,13.9,9.9,18.3,0.0,13.0
2012-07-30,4.5120000000000005,14.6,9.1,19.6,1.5,15.2
2012-07-31,8.532,15.6,10.9,20.4,0.0,12.5
2012-08-01,5.255,17.8,13.5,23.3,0.5,13.9
2012-08-02,6.235,17.6,15.0,21.5,0.5,18.7
2012-08-03,2.554,17.1,11.9,22.6,0.0,16.4
2012-08-04,2.523,16.8,14.0,21.1,2.3,16.0
2012-08-05,2.48,16.2,11.5,21.6,1.5,9.9
2012-08-06,4.821,16.6,14.3,21.0,1.5,11.9
2012-08-07,6.191,14.8,10.5,19.2,2.3,13.9
2012-08-08,5.101,18.7,15.0,23.1,0.0,8.3
2012-08-09,5.233,19.2,12.1,25.1,0.3,6.3
2012-08-10,2.827,20.2,13.5,27.0,0.0,5.0
2012-08-11,2.796,19.0,14.3,23.3,0.0,17.4
2012-08-12,2.88,20.0,15.3,25.8,0.0,14.2
2012-08-13,4.986,18.4,14.8,22.8,0.0,12.1
2012-08-14,6.534,20.4,17.2,25.2,2.8,10.5
2012-08-15,5.924,19.3,17.1,22.1,0.0,18.6
2012-08-16,4.977,18.7,15.8,22.2,0.8,17.1
2012-08-17,2.679,21.9,18.0,28.1,0.0,16.6
2012-08-18,2.872,23.5,17.8,29.0,0.0,9.7
2012-08-19,3.041,23.1,16.4,29.9,0.0,8.6
2012-08-20,3.989,19.8,15.4,25.4,0.0,9.3
2012-08-21,5.728,17.7,14.4,21.6,0.0,8.8
2012-08-22,6.175,17.0,12.4,22.1,0.3,17.9
2012-08-23,4.092,16.7,12.3,21.2,0.0,9.0
2012-08-24,2.559,16.5,13.3,20.2,0.0,11.5
2012-08-25,2.562,16.7,14.9,20.6,12.7,14.4
2012-08-26,2.585,16.5,13.4,21.1,4.1,16.1
2012-08-27,2.508,16.5,11.2,21.0,0.0,14.4
2012-08-28,4.7459999999999996,17.8,13.7,22.4,2.0,16.7
2012-08-29,5.176,15.1,13.5,20.7,0.0,15.7
2012-08-30,5.375,14.2,10.2,17.9,3.8,16.9
2012-08-31,2.286,12.3,5.7,18.0,0.0,12.1
2012-09-01,2.383,16.5,12.9,21.9,0.0,11.7
2012-09-02,2.371,15.4,11.6,18.5,0.0,9.8
2012-09-03,4.85,18.1,12.9,24.1,0.0,5.6
2012-09-04,5.216,17.5,11.2,23.7,0.0,8.8
2012-09-05,5.652,15.1,9.6,19.6,0.0,12.4
2012-09-06,4.353,14.5,7.2,21.7,0.0,8.5
2012-09-07,2.536,17.2,9.6,26.2,0.0,8.3
2012-09-08,2.6149999999999998,17.1,8.0,27.2,0.0,4.9
2012-09-09,2.713,16.7,8.1,27.4,0.0,11.2
2012-09-10,6.426,17.9,15.8,20.3,0.0,20.1
2012-09-11,5.441,15.3,11.0,17.1,0.0,20.4
2012-09-12,4.673,12.4,6.7,17.6,0.0,14.5
2012-09-13,5.196,12.6,5.9,18.4,2.0,14.0
2012-09-14,2.438,16.0,12.7,19.3,0.0,22.2
2012-09-15,2.401,14.3,7.4,21.1,0.0,9.8
2012-09-16,2.441,15.2,11.6,18.1,0.0,14.1
2012-09-17,4.844,15.5,12.9,17.8,0.0,15.1
2012-09-18,4.76,13.3,9.5,16.7,0.0,19.2
2012-09-19,5.2,11.3,5.9,16.6,0.0,13.8
2012-09-20,4.4510000000000005,12.3,6.6,17.3,0.0,10.0
2012-09-21,2.303,12.5,10.0,16.3,0.0,8.8
2012-09-22,2.269,10.7,4.9,15.4,0.8,10.8
2012-09-23,2.173,10.1,7.9,11.9,0.0,16.6
2012-09-24,5.235,12.9,11.1,15.3,21.8,20.5
2012-09-25,4.8469999999999995,12.3,9.4,15.9,7.9,20.2
2012-09-26,6.051,12.2,9.8,16.0,0.5,10.8
2012-09-27,3.245,12.5,9.5,16.5,2.8,11.5
2012-09-28,2.185,11.8,7.8,16.4,0.8,13.5
2012-09-29,2.206,11.1,7.2,15.0,0.3,13.3
2012-09-30,2.178,11.7,5.2,16.6,0.0,16.8
2012-10-01,5.105,14.2,11.7,16.7,7.1,16.3
2012-10-02,5.37,13.1,9.8,16.6,0.3,17.3
2012-10-03,5.831,12.1,8.7,14.3,5.1,16.2
2012-10-04,3.764,10.7,5.1,15.9,1.0,13.0
2012-10-05,2.24,12.0,8.7,15.9,10.2,15.7
2012-10-06,2.191,10.1,7.0,15.0,14.0,7.3
2012-10-07,2.104,7.8,3.1,13.1,0.3,5.1
2012-10-08,5.3870000000000005,11.1,7.4,12.2,0.0,10.6
2012-10-09,5.292,11.4,8.7,13.5,2.8,12.5
2012-10-10,5.304,11.8,8.5,15.8,0.0,10.4
2012-10-11,6.4359999,12.5,9.4,15.1,0.0,13.3
